angle,power
0,17.2
4,20
10,22.7
12,23.9
16,23.1
18,23
20,22
25,21
30,17.4
35,14.7
40,10.3
45,6.3
50,3.3
55,0.97
57,0.72
58,0.35
60,0.085
62,0.029
64,0.206
65,0.302
70,2.5
