angle,power
0.6544984694978736,19.520458084033613
0.6981317007977318,12.613875462184874
0.7243116395776468,11.256634588235295
0.7417649320975901,10.547152554621848
0.7853981633974483,9.874679613086771
0.8203047484373349,9.696413159090909
0.8552113334772214,8.873817161764705
0.8726646259971648,8.3775770302521
0.890117918517108,10.085588366459627
0.9250245035569946,9.137190805586592
0.9512044423369095,9.7717131575419
0.9861110273767961,9.803570204469274
1.0210176124166828,10.63336567164179
1.1344640137963142,20.226557411764706
