,angle,power
0,0.6981317007977318,136.99977
1,0.8552113334772214,146.99977
2,0.9599310885968813,149.99977
3,1.0471975511965976,143.99977
4,1.1344640137963142,133.99977
5,1.2217304763960306,125.99977
6,1.3089969389957472,112.99977
7,1.3962634015954636,102.99977
8,1.4835298641951802,89.99977
9,1.5707963267948966,77.99977
10,1.6580627893946132,64.99977
11,1.7453292519943295,54.99977
12,1.8325957145940461,40.99977
13,1.9198621771937625,32.99977
14,2.007128639793479,20.99977
15,2.0943951023931953,14.29977
16,2.1816615649929116,8.29977
17,2.2689280275926285,3.3997699999999997
18,2.356194490192345,0.37977
19,2.443460952792061,0.04477
20,2.4609142453120043,0.44977
21,2.478367537831948,1.81977
22,2.5307274153917776,1.8697700000000002
